      x           H
  0.000    3352.131
 11.174    3335.023
 34.326    3317.915
 66.054    3299.065
 95.510    3262.316
121.456    3233.645
146.767    3198.163
177.628    3149.691
200.774    3112.625
230.164    3061.302
241.553    3039.918
259.737    3003.564
270.208    2990.021
300.330    2925.392
318.328    2881.673
327.511    2860.288
348.448    2813.243
365.893    2766.355
383.707    2719.151
403.540    2667.828
411.251    2642.167
432.105    2588.785
450.915    2528.117
459.177    2501.030
482.862    2424.046
497.917    2371.297
510.950    2321.400
518.660    2291.462
534.905    2225.170
551.149    2154.602
571.245    2058.372
583.395    1996.357
596.016    1927.316
612.070    1836.686
633.991    1699.113
641.420    1649.929
657.922    1521.622
670.568    1402.938
683.765    1286.393
695.860    1170.917
701.614    1054.550
707.377     965.626
714.498     811.658
721.071     666.244
730.940     483.407
734.777     409.631
739.709     307.342
744.080     177.610
750.000       0.000
