      x   uxy_mean
  0.000      0.000
 22.098      2.413
 41.982      4.083
 59.077      5.591
 78.868      7.044
 95.715      8.914
115.095     10.698
133.263     12.393
148.822     13.802
167.822     15.567
185.740     17.284
198.686     18.453
212.713     19.967
231.356     21.787
248.561     23.615
266.493     25.568
277.091     26.744
292.032     28.344
304.511     29.397
315.841     31.066
330.627     32.780
344.220     34.388
355.638     35.741
369.784     37.565
385.570     39.744
409.141     42.696
423.352     44.998
435.665     46.870
446.843     48.230
458.192     50.407
464.552     51.441
480.107     54.242
497.729     57.321
508.951     59.590
525.596     63.294
536.676     65.746
552.884     69.528
565.358     72.860
575.309     75.729
590.071     79.783
602.926     84.044
610.090     87.054
618.810     90.777
629.161     95.293
639.131     99.450
647.277    103.216
653.072    106.769
657.640    110.863
663.118    115.131
669.573    120.668
673.011    123.940
680.388    129.837
687.166    134.775
696.375    141.198
699.066    144.019
700.398    146.526
702.416    139.624
705.609    131.989
707.583    124.361
710.732    116.001
713.903    108.004
718.005     95.286
718.959     90.928
720.423     87.067
722.307     82.561
726.381     69.695
731.514     56.502
734.570     46.953
736.874     38.170
740.132     29.643
750.000      0.000
