T_prime    sigma
-32.999    1.000
-32.886    0.946
-32.748    0.893
-32.645    0.851
-32.542    0.810
-32.403    0.760
-32.265    0.706
-32.127    0.651
-31.985    0.613
-31.848    0.557
-31.716    0.525
-31.673    0.501
-31.451    0.470
-31.234    0.446
-31.016    0.424
-30.689    0.398
-30.394    0.377
-29.867    0.347
-29.131    0.317
-27.827    0.276
-26.880    0.254
-25.339    0.220
-23.891    0.186
-22.076    0.154
-20.296    0.123
-18.700    0.098
-16.794    0.064
-14.881    0.034
-12.889    0.000
