    uz    sigma
-0.500    1.000
-0.486    0.977
-0.468    0.947
-0.454    0.924
-0.441    0.902
-0.428    0.884
-0.417    0.862
-0.399    0.835
-0.377    0.798
-0.363    0.776
-0.351    0.755
-0.338    0.734
-0.326    0.715
-0.315    0.697
-0.298    0.670
-0.279    0.639
-0.264    0.615
-0.246    0.586
-0.231    0.560
-0.205    0.519
-0.182    0.480
-0.165    0.450
-0.147    0.419
-0.126    0.383
-0.110    0.353
-0.092    0.318
-0.077    0.286
-0.063    0.256
-0.051    0.230
-0.040    0.201
-0.028    0.166
-0.021    0.146
-0.017    0.127
-0.010    0.101
-0.004    0.060
 0.000    0.000
