      x           H
  0.000    2948.408
 14.554    2932.767
 30.415    2917.051
 42.621    2908.930
 56.038    2893.364
 69.443    2870.427
 85.303    2854.711
104.805    2824.029
125.517    2785.902
142.575    2755.370
158.411    2724.913
177.889    2679.491
193.726    2649.034
214.413    2596.166
232.669    2550.819
250.925    2505.471
267.948    2452.829
283.760    2407.631
300.782    2354.989
317.792    2294.976
328.729    2257.449
340.876    2212.477
356.664    2152.539
371.218    2085.306
384.575    2032.889
396.710    1980.546
407.610    1920.908
419.721    1853.825
429.400    1794.263
437.881    1749.516
445.140    1704.844
454.807    1637.911
462.066    1593.239
471.709    1511.566
477.759    1474.339
483.772    1415.002
495.859    1333.178
500.662    1281.286
506.651    1207.208
511.407    1125.835
517.348    1022.276
522.127     955.643
524.487     903.901
528.069     852.084
531.650     800.267
534.010     748.525
541.197     659.632
545.964     585.629
550.732     511.626
554.289     445.068
559.069     378.436
561.428     326.694
565.022     282.247
569.777     200.874
574.545     126.871
578.114      67.683
580.486      23.312
581.660       0.000
