     x           H
  0.000    2997.200
 19.526    2984.059
 43.927    2960.447
 63.441    2937.135
 85.387    2906.303
102.457    2883.141
125.601    2837.494
149.966    2791.771
174.332    2746.048
204.782    2685.210
242.480    2572.329
270.451    2489.530
302.064    2391.765
322.740    2331.527
344.601    2249.103
372.524    2136.823
391.942    2054.549
411.348    1964.905
428.310    1875.411
448.902    1763.581
461.001    1689.128
473.063    1592.564
488.803    1503.145
502.076    1399.135
511.707    1310.092
516.498    1250.829
523.697    1169.306
535.712    1043.261
542.947     983.848
551.368     902.250
554.926     835.693
557.273     776.580
560.831     710.023
564.401     650.835
567.946     576.907
572.713     502.905
576.271     436.347
578.631     384.605
582.200     325.418
585.770     266.230
589.315     192.302
592.885     133.115
595.233      74.003
600.000       0.000
