      x           H
  0.000    2958.900
 10.889    2932.992
 20.652    2925.021
 31.637    2916.976
 41.400    2909.005
 54.804    2886.069
 65.777    2870.653
 77.972    2855.161
 87.723    2839.820
 99.905    2816.959
113.310    2794.023
127.924    2763.641
140.107    2740.780
158.387    2710.173
179.087    2664.675
197.343    2619.328
225.338    2551.269
239.941    2513.517
253.321    2475.840
264.258    2438.313
276.429    2408.082
286.144    2370.630
299.524    2332.953
309.239    2295.501
318.966    2265.420
329.891    2220.523
343.259    2175.475
355.406    2130.503
366.319    2078.236
379.675    2025.818
388.169    1988.442
402.723    1921.209
412.402    1861.646
419.661    1816.974
426.932    1779.672
432.982    1742.446
440.241    1697.774
448.710    1645.657
457.191    1600.910
462.006    1556.388
469.254    1504.346
476.501    1452.303
483.748    1400.261
490.983    1340.849
499.428    1273.991
504.232    1222.099
510.221    1148.021
515.012    1088.758
519.804    1029.496
522.187     992.495
528.189     925.787
531.782     881.340
536.574     822.078
540.155     770.261
544.959     718.369
548.552     673.922
553.344     614.659
558.135     555.397
564.112     473.949
564.112     473.949
568.880     399.946
574.869     325.868
579.660     266.606
584.440     199.973
590.453     140.636
592.825      96.264
597.634      48.057
599.383       0.000
