     x  T_prime_base
  0.000    -13.279
  7.081    -13.156
 14.293    -12.952
 23.919    -12.789
 31.866    -12.595
 38.350    -12.463
 46.774    -12.341
 55.192    -12.137
 61.199    -11.932
 69.006    -11.718
 78.031    -11.483
 86.451    -11.320
 94.865    -11.075
103.286    -10.912
111.703    -10.708
120.118    -10.463
128.535    -10.259
135.747    -10.055
144.887     -9.763
153.777     -9.524
162.188     -9.238
171.800     -8.911
183.815     -8.502
193.428     -8.176
203.037     -7.808
211.448     -7.522
221.053     -7.113
229.457     -6.745
239.070     -6.418
247.474     -6.050
255.878     -5.682
263.081     -5.355
271.485     -4.987
278.762     -4.710
284.689     -4.373
293.090     -3.964
300.289     -3.596
308.686     -3.146
314.678     -2.737
323.069     -2.205
330.623     -1.804
337.458     -1.346
344.461     -0.859
354.263     -0.569
366.298     -0.406
380.331     -0.285
398.103      0.000
