     x   uxy_mean
  0.011     0.188
 10.550     1.115
 19.925     2.044
 29.804     2.762
 41.520     3.735
 53.238     4.755
 64.957     5.783
 76.676     6.810
 88.395     7.846
100.197     8.908
111.944     9.997
123.562    11.107
135.287    12.251
147.011    13.372
158.739    14.555
170.468    15.746
182.194    16.898
193.921    18.077
202.182    19.298
213.116    20.083
224.850    21.371
236.587    22.718
248.324    24.048
260.069    25.527
271.819    27.091
283.570    28.671
295.320    30.243
306.629    31.821
318.847    33.830
330.081    35.630
339.710    37.173
351.487    39.196
361.135    41.071
369.717    42.835
378.301    44.643
387.419    46.502
395.430    48.219
404.590    50.156
417.947    52.006
429.179    53.782
440.948    55.673
452.693    57.144
464.342    56.981
475.979    56.609
487.616    56.236
499.239    55.617
507.715    53.282
515.398    50.980
521.632    48.833
527.870    46.744
533.588    44.837
538.780    43.000
542.418    41.763
551.128    39.656
552.237    37.473
553.182    35.504
555.179    33.384
557.159    30.993
559.139    28.588
561.113    26.083
563.075    23.385
565.135    21.486
566.212    19.980
568.422    17.908
569.007    16.042
570.992    13.729
572.969    11.267
574.941     8.740
576.918     6.278
578.883     3.624
580.876     1.447
582.526     0.022
